"","area","week","x"
"776",8,49,24956.1793603603
"777",9,49,13618.7031861305
"778",10,49,14683.9242382279
"779",11,49,10548.2524634097
"780",12,49,5246.0410863074
"781",13,49,7263.74845097477
"782",14,49,4438.63216031795
"783",15,49,1231.82443557961
"784",16,49,829.400374794287
"785",1,50,4136.4094586453
"786",2,50,9594.8135832824
"787",3,50,4961.52553456789
"788",4,50,6658.5679115635
"789",5,50,13389.5512772061
"790",6,50,15883.6580951322
"791",7,50,24428.6431238909
"792",8,50,25071.3140351811
"793",9,50,13469.1931302578
"794",10,50,14509.4597470028
"795",11,50,10400.8063696567
"796",12,50,5196.73812875162
"797",13,50,7191.40332791245
"798",14,50,4415.86709046731
"799",15,50,1226.31080929975
"800",16,50,827.622718721023
"801",1,51,4090.42214682599
"802",2,51,9620.30260842863
"803",3,51,4922.45653824028
"804",4,51,6547.84338064723
"805",5,51,13238.3281334474
"806",6,51,15852.211159707
"807",7,51,24399.5439845141
"808",8,51,25192.5157123596
"809",9,51,13319.6804990508
"810",10,51,14340.7823244082
"811",11,51,10247.6396946529
"812",12,51,5142.8466052274
"813",13,51,7117.49672186699
"814",14,51,4389.2630353722
"815",15,51,1220.30913776591
"816",16,51,825.253318926034
"817",1,52,4043.72405732694
"818",2,52,9647.04946783665
"819",3,52,4885.41329415425
"820",4,52,6438.1807043456
"821",5,52,13088.5852800409
"822",6,52,15813.9621816845
"823",7,52,24347.8043059315
"824",8,52,25317.1596549484
"825",9,52,13172.6166039949
"826",10,52,14178.605012532
"827",11,52,10091.2270515421
"828",12,52,5084.597553576
"829",13,52,7042.44152626177
"830",14,52,4359.09853403992
"831",15,52,1213.43778519666
"832",16,52,822.367111450033
"833",1,53,3997.08285377194
"834",2,53,9673.07656431816
"835",3,53,4850.29746730853
"836",4,53,6330.72280149979
"837",5,53,12941.566764192
"838",6,53,15769.6847669278
"839",7,53,24274.6515911843
"840",8,53,25442.7526040384
"841",9,53,13029.0196843391
"842",10,53,14026.1320776161
"843",11,53,9934.04189906626
"844",12,53,5023.50085364163
"845",13,53,6968.38730968249
"846",14,53,4326.2269940792
"847",15,53,1206.25984877034
"848",16,53,819.148245541282
